bbl,address,bldgclass,landuse,yearbuilt,numbldgs,unitstotal,unitsres,lot_lat,lot_lon,cam_lat,cam_lon,cam_to_lot_ft,heading_deg
1003060007,74 FORSYTH STREET,C7,4.0,1900,1,20,18,40.71713720000001,-73.9931712,40.71718863502111,-73.99334462097943,56.6,111.37
1003060011,82 FORSYTH STREET,S4,4.0,1900,1,5,4,40.71739519999999,-73.9930413,40.71744604902461,-73.99321274511509,56.01,111.37
1003060032,73 ELDRIDGE STREET,C7,4.0,1920,1,24,22,40.716906599999994,-73.9928935,40.71661781163441,-73.99304512980258,118.3,21.7
1003060037,111 HESTER STREET,D7,4.0,1900,1,8,6,40.71668430000001,-73.993027,40.71662221029685,-73.99305960038129,29.36,21.7
1003060038,113 HESTER STREET,O2,5.0,1900,1,2,0,40.71673920000001,-73.9930919,40.71664677899234,-73.99314042583393,41.26,21.7
1002930008,22 ELDRIDGE STREET,K4,4.0,1900,1,4,1,40.71496610000003,-73.993341,40.71501133889894,-73.99349290832734,50.22,111.45
1003030039,133 CANAL STREET,M9,8.0,1900,1,3,0,40.71628369999999,-73.9953141,40.71623634000855,-73.99546916959883,51.32,68.05
1003040001,95 BOWERY,K4,4.0,1910,2,46,32,40.71726630000001,-73.9950615,40.71724808499808,-73.995071181958,12.16,21.94
1003060014,271 GRAND STREET,O5,5.0,1900,1,4,0,40.717710800000006,-73.9930341,40.7177218735292,-73.9930714361386,16.11,111.37
1003030020,122 HESTER STREET,C7,4.0,1910,1,24,20,40.71691220000001,-73.994726,40.716971052412276,-73.99469471643364,28.13,201.94
1003060004,68 FORSYTH STREET,C7,4.0,1900,1,18,16,40.716945,-73.9932686,40.716996709294875,-73.99344294580376,56.87,111.37
1002920012,104 CANAL STREET,K4,4.0,1910,1,3,1,40.71541630000001,-73.9941959,40.71542946998407,-73.99424002337872,18.14,111.49
1003060040,117 HESTER STREET,S5,4.0,1900,1,7,6,40.7167831,-73.9932362,40.71669064704171,-73.9932847424098,41.27,21.7
1003040030,85 CHRYSTIE STREET,C7,4.0,1910,1,21,20,40.717543500000005,-73.9945023,40.717493979293394,-73.99433011803394,56.03,290.78
1003060035,107 HESTER STREET,C7,4.0,1913,1,20,17,40.71664860000001,-73.9929116,40.71658704625952,-73.9929439190789,29.15,21.7
1002930011,80 CANAL STREET,O9,5.0,1900,1,6,0,40.7151747,-73.9932797,40.71521884033297,-73.99325582656674,22.39,202.29
1002920029,5 ELDRIDGE STREET,C7,4.0,1900,1,13,9,40.714584600000016,-73.9940336,40.714547983810114,-73.99391088646463,41.54,291.49
1003030022,67 CHRYSTIE STREET,K1,5.0,1940,1,1,0,40.7168298,-73.9948343,40.71678646888397,-73.99468987014008,48.04,291.6
1003060001,119 HESTER STREET,C7,4.0,1910,1,29,25,40.716796800000004,-73.9934094,40.716737934020486,-73.99344030741831,28.09,21.7
1003060008,76 FORSYTH STREET,C7,4.0,1900,1,18,16,40.717203,-73.9931388,40.71725409776296,-73.99331108384203,56.26,111.37
1002930020,3 ALLEN STREET,C7,4.0,1910,1,11,10,40.7146834,-73.9931354,40.71463809438907,-73.99298565184708,49.67,291.76
1002920024,15 ELDRIDGE STREET,C7,4.0,1900,1,24,22,40.71491670000002,-73.9939073,40.71486848314092,-73.99374570859682,53.12,291.49
1003030010,83 BOWERY,C7,4.0,1910,1,15,12,40.71675580000001,-73.9953285,40.716822806583245,-73.99551931277098,63.26,114.86
1002930007,20 ELDRIDGE STREET,M1,8.0,1900,1,1,0,40.7149002,-73.9933771,40.71494486997165,-73.99352709794559,49.65,111.45
