bbl,address,strip_path,lot_lat,lot_lon,n_images,years,earliest,latest,span_years
1001170100,CHATHAM SQUARE,data/strips/1001170100.jpg,40.713514300000014,-73.9981279,6,"2021,2024",2021,2024,3
1001580001,27 DUANE STREET,data/strips/1001580001.jpg,40.71329740000001,-74.0026946,6,"2014,2019,2021",2014,2021,7
1001580009,20 CARDINAL HAYES PLACE,data/strips/1001580009.jpg,40.71333859999999,-74.0024168,6,2024,2024,2024,0
1001590040,128 PARK ROW,data/strips/1001590040.jpg,40.7132041,-74.0015006,6,2024,2024,2024,0
1001590051,122 PARK ROW,data/strips/1001590051.jpg,40.713086100000005,-74.0019912,6,2024,2024,2024,0
1001590060,100 PARK ROW,data/strips/1001590060.jpg,40.71298179999998,-74.0023807,6,2024,2024,2024,0
1001600001,464 PEARL STREET,data/strips/1001600001.jpg,40.7138876,-74.000891,6,"2021,2024",2021,2024,3
1001600021,474 PEARL STREET,data/strips/1001600021.jpg,40.714302,-74.0015691,6,2021,2021,2021,0
1001620001,1 CHATHAM SQUARE,data/strips/1001620001.jpg,40.7138299,-73.9985102,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620006,10 MOTT STREET,data/strips/1001620006.jpg,40.71405769999999,-73.9985824,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620007,12 MOTT STREET,data/strips/1001620007.jpg,40.7141099,-73.9986004,6,"2009,2014,2019,2022,2024",2009,2024,15
1001620008,14 MOTT STREET,data/strips/1001620008.jpg,40.71419500000002,-73.9984814,6,"2009,2014,2019,2022,2024",2009,2024,15
1001620009,16 MOTT STREET,data/strips/1001620009.jpg,40.714252599999995,-73.9984922,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620010,18 MOTT STREET,data/strips/1001620010.jpg,40.714313,-73.998503,6,"2009,2011,2016,2019,2022,2024",2009,2024,15
1001620011,20 MOTT STREET,data/strips/1001620011.jpg,40.71437340000002,-73.9985246,6,"2009,2011,2016,2019,2022,2024",2009,2024,15
1001620012,22 MOTT STREET,data/strips/1001620012.jpg,40.71443930000002,-73.9985355,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620013,24 MOTT STREET,data/strips/1001620013.jpg,40.71450509999999,-73.9985391,6,2023,2023,2023,0
1001620014,26 MOTT STREET,data/strips/1001620014.jpg,40.71457100000001,-73.9985535,6,2023,2023,2023,0
1001620015,28 MOTT STREET,data/strips/1001620015.jpg,40.714636899999995,-73.9985643,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620016,30 MOTT STREET,data/strips/1001620016.jpg,40.71470279999998,-73.9985751,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620017,32 MOTT STREET,data/strips/1001620017.jpg,40.71476860000001,-73.998586,6,"2011,2014,2019,2022,2024",2011,2024,13
1001620018,34 MOTT STREET,data/strips/1001620018.jpg,40.714853700000006,-73.9986761,6,"2011,2014,2017,2022,2024",2011,2024,13
1001620021,29 PELL STREET,data/strips/1001620021.jpg,40.71484550000002,-73.9984994,6,"2011,2014,2019,2022,2024",2011,2024,13
1001620022,25 PELL STREET,data/strips/1001620022.jpg,40.7147824,-73.9983767,6,"2011,2014,2017,2022,2024",2011,2024,13
1001620023,23 PELL STREET,data/strips/1001620023.jpg,40.71474940000001,-73.9983082,6,"2011,2014,2017,2022,2024",2011,2024,13
1001620024,21 PELL STREET,data/strips/1001620024.jpg,40.714735699999984,-73.9982324,6,"2014,2017,2024",2014,2024,10
1001620025,19 PELL STREET,data/strips/1001620025.jpg,40.71472199999999,-73.9981531,6,"2014,2017,2024",2014,2024,10
1001620026,15 DOYERS STREET,data/strips/1001620026.jpg,40.714593,-73.9982685,6,"2014,2017,2024",2014,2024,10
1001620028,11 DOYERS STREET,data/strips/1001620028.jpg,40.71445570000001,-73.9982613,6,2017,2017,2017,0
1001620030,9 DOYERS STREET,data/strips/1001620030.jpg,40.7143404,-73.9982252,6,2017,2017,2017,0
1001620033,3 DOYERS STREET,data/strips/1001620033.jpg,40.714241600000015,-73.9979944,6,"2014,2017,2024",2014,2024,10
1001620034,13 CHATHAM SQUARE,data/strips/1001620034.jpg,40.71410440000002,-73.9977996,6,"2014,2017,2024",2014,2024,10
1001620035,11 CHATHAM SQUARE,data/strips/1001620035.jpg,40.7140989,-73.9979222,6,"2014,2017,2024",2014,2024,10
1001620037,10 CHATHAM SQUARE,data/strips/1001620037.jpg,40.714057699999984,-73.9980124,6,"2012,2014,2018,2022,2026",2012,2026,14
1001620038,9 CHATHAM SQUARE,data/strips/1001620038.jpg,40.7141785,-73.9981098,6,"2014,2017,2024",2014,2024,10
1001620041,6 CHATHAM SQUARE,data/strips/1001620041.jpg,40.71400280000001,-73.9983335,6,2010,2010,2010,0
1001620042,5 CHATHAM SQUARE,data/strips/1001620042.jpg,40.71397540000001,-73.9984453,6,"2009,2011,2014,2019,2022,2024",2009,2024,15
1001620043,2 DOYERS STREET,data/strips/1001620043.jpg,40.714367899999985,-73.9978176,6,"2014,2017,2024",2014,2024,10
1001620044,4 DOYERS STREET,data/strips/1001620044.jpg,40.71443650000001,-73.9979006,6,"2014,2017,2024",2014,2024,10
1001620047,10 DOYERS STREET,data/strips/1001620047.jpg,40.7144996,-73.9980449,6,"2014,2017,2024",2014,2024,10
1001620048,16 DOYERS STREET,data/strips/1001620048.jpg,40.7145902,-73.9980232,6,"2014,2017,2024",2014,2024,10
1001620049,17 PELL STREET,data/strips/1001620049.jpg,40.7147028,-73.9979944,6,"2014,2017,2024",2014,2024,10
1001620050,13 PELL STREET,data/strips/1001620050.jpg,40.71468900000001,-73.9979222,6,"2011,2014,2019,2022,2024",2011,2024,13
1001620051,11 PELL STREET,data/strips/1001620051.jpg,40.71462589999999,-73.9978717,6,"2011,2014,2019,2022,2024",2011,2024,13
1001620052,9 PELL STREET,data/strips/1001620052.jpg,40.7146012,-73.9977888,6,"2011,2014,2019,2022,2024",2011,2024,13
1001620053,18 BOWERY,data/strips/1001620053.jpg,40.71463409999999,-73.9975038,6,"2011,2014,2019,2022,2026",2011,2026,15
1001620054,16 BOWERY,data/strips/1001620054.jpg,40.714573699999995,-73.9975471,6,"2011,2014,2019,2022,2026",2011,2026,15
1001620055,14 BOWERY,data/strips/1001620055.jpg,40.7145161,-73.9975904,6,"2012,2014,2018,2022,2026",2012,2026,14
1001620056,12 BOWERY,data/strips/1001620056.jpg,40.714463899999984,-73.9976012,6,"2012,2014,2018,2022,2026",2012,2026,14
1001620057,10 BOWERY,data/strips/1001620057.jpg,40.714422800000015,-73.99762640000002,6,"2012,2014,2018,2022,2026",2012,2026,14
1001620058,8 BOWERY,data/strips/1001620058.jpg,40.7143569,-73.9976589,6,"2012,2014,2018,2022,2026",2012,2026,14
1001620060,4 BOWERY,data/strips/1001620060.jpg,40.71429650000002,-73.9977022,6,"2014,2017,2024",2014,2024,10
