line,stop_id,stop_name,borough,structure,lat,lon,mile_cum
1,101,Van Cortlandt Park-242 St,Bx,Elevated,40.889248,-73.898583,0.0
1,103,238 St,Bx,Elevated,40.884667,-73.90087,0.338
1,104,231 St,Bx,Elevated,40.878856,-73.904834,0.79
1,106,Marble Hill-225 St,M,Elevated,40.874561,-73.909831,1.185
1,107,215 St,M,Elevated,40.869444,-73.915279,1.639
1,108,207 St,M,Elevated,40.864621,-73.918822,2.02
1,109,Dyckman St,M,Elevated,40.860531,-73.925536,2.471
1,110,191 St,M,Subway,40.855225,-73.929412,2.89
1,111,181 St,M,Subway,40.849505,-73.933596,3.341
1,112,168 St-Washington Hts,M,Subway,40.840556,-73.940133,4.048
1,113,157 St,M,Subway,40.834041,-73.94489,4.562
1,114,145 St,M,Subway,40.826551,-73.95036,5.153
1,115,137 St-City College,M,Subway,40.822008,-73.953676,5.512
1,116,125 St,M,Elevated,40.815581,-73.958372,6.019
1,117,116 St-Columbia University,M,Subway,40.807722,-73.96411,6.64
1,118,Cathedral Pkwy (110 St),M,Subway,40.803967,-73.966847,6.936
1,119,103 St,M,Subway,40.799446,-73.968379,7.259
1,120,96 St,M,Subway,40.793919,-73.972323,7.693
1,121,86 St,M,Subway,40.788644,-73.976218,8.11
1,122,79 St,M,Subway,40.783934,-73.979917,8.489
1,123,72 St,M,Subway,40.778453,-73.98197,8.882
1,124,66 St-Lincoln Center,M,Subway,40.77344,-73.982209,9.229
1,125,59 St-Columbus Circle,M,Subway,40.768247,-73.981929,9.588
1,126,50 St,M,Subway,40.761728,-73.983849,10.05
1,127,Times Sq-42 St,M,Subway,40.75529,-73.987495,10.534
1,128,34 St-Penn Station,M,Subway,40.750373,-73.991057,10.921
1,129,28 St,M,Subway,40.747215,-73.993365,11.171
1,130,23 St,M,Subway,40.744081,-73.995657,11.418
1,131,18 St,M,Subway,40.74104,-73.997871,11.658
1,132,14 St,M,Subway,40.737826,-74.000201,11.911
1,133,Christopher St-Stonewall,M,Subway,40.733422,-74.002906,12.247
1,134,Houston St,M,Subway,40.728251,-74.005367,12.627
1,135,Canal St,M,Subway,40.722854,-74.006277,13.003
1,136,Franklin St,M,Subway,40.719318,-74.006886,13.249
1,137,Chambers St,M,Subway,40.715478,-74.009266,13.542
1,138,WTC Cortlandt,M,Subway,40.711835,-74.012188,13.837
1,139,Rector St,M,Subway,40.707513,-74.013783,14.147
1,142,South Ferry,M,Subway,40.702068,-74.013664,14.523
2,120,96 St,M,Subway,40.793919,-73.972323,0.0
2,123,72 St,M,Subway,40.778453,-73.98197,1.182
2,127,Times Sq-42 St,M,Subway,40.75529,-73.987495,2.808
2,128,34 St-Penn Station,M,Subway,40.750373,-73.991057,3.196
2,132,14 St,M,Subway,40.737826,-74.000201,4.186
2,137,Chambers St,M,Subway,40.715478,-74.009266,5.801
2,201,Wakefield-241 St,Bx,Elevated,40.903125,-73.85062,21.194
