line,stop_id,stop_name,lat,lon,structure,borough,att,sprint,tmobile,verizon
1,101,Van Cortlandt Park-242 St,40.889248,-73.898583,Elevated,Bx,0.0,0.0,0.5,1.0
1,103,238 St,40.884667,-73.90087,Elevated,Bx,0.0,0.0,0.5,0.75
1,104,231 St,40.878856,-73.904834,Elevated,Bx,0.0,0.0,0.0,0.0
1,106,Marble Hill-225 St,40.874561,-73.909831,Elevated,M,0.0,0.0,0.75,0.75
1,107,215 St,40.869444,-73.915279,Elevated,M,0.25,0.0,0.25,0.25
1,108,207 St,40.864621,-73.918822,Elevated,M,0.0,0.0,0.5,0.5
1,109,Dyckman St,40.860531,-73.925536,Elevated,M,0.25,0.0,0.25,0.5
1,110,191 St,40.855225,-73.929412,Subway,M,0.0,0.25,0.0,0.0
1,111,181 St,40.849505,-73.933596,Subway,M,0.167,0.0,0.5,0.0
1,112,168 St-Washington Hts,40.840556,-73.940133,Subway,M,0.0,0.167,0.167,0.167
1,113,157 St,40.834041,-73.94489,Subway,M,0.0,0.0,0.0,0.0
1,114,145 St,40.826551,-73.95036,Subway,M,0.0,0.0,0.0,0.0
1,115,137 St-City College,40.822008,-73.953676,Subway,M,0.0,0.0,0.0,0.0
1,116,125 St,40.815581,-73.958372,Elevated,M,0.0,0.0,0.0,0.0
1,117,116 St-Columbia University,40.807722,-73.96411,Subway,M,0.0,0.2,0.2,0.6
1,118,Cathedral Pkwy (110 St),40.803967,-73.966847,Subway,M,0.0,0.0,0.333,0.333
1,119,103 St,40.799446,-73.968379,Subway,M,0.0,0.0,0.0,0.333
1,120,96 St,40.793919,-73.972323,Subway,M,0.0,0.0,0.25,0.25
1,121,86 St,40.788644,-73.976218,Subway,M,0.0,0.5,0.0,0.25
1,122,79 St,40.783934,-73.979917,Subway,M,0.0,0.0,0.5,0.75
1,123,72 St,40.778453,-73.98197,Subway,M,0.0,0.0,0.0,0.667
1,124,66 St-Lincoln Center,40.77344,-73.982209,Subway,M,0.0,0.0,0.0,0.25
1,125,59 St-Columbus Circle,40.768247,-73.981929,Subway,M,0.0,0.25,0.75,0.5
1,126,50 St,40.761728,-73.983849,Subway,M,0.0,0.0,0.0,0.5
1,127,Times Sq-42 St,40.75529,-73.987495,Subway,M,0.0,0.0,0.25,0.5
1,128,34 St-Penn Station,40.750373,-73.991057,Subway,M,0.0,0.333,0.333,0.667
1,129,28 St,40.747215,-73.993365,Subway,M,0.0,0.333,0.333,0.0
1,130,23 St,40.744081,-73.995657,Subway,M,0.0,0.0,0.5,0.5
1,131,18 St,40.74104,-73.997871,Subway,M,0.0,0.5,0.5,1.0
1,132,14 St,40.737826,-74.000201,Subway,M,0.0,0.667,0.667,0.333
1,133,Christopher St-Stonewall,40.733422,-74.002906,Subway,M,0.0,0.25,0.25,0.75
1,134,Houston St,40.728251,-74.005367,Subway,M,0.0,0.0,0.333,1.0
1,135,Canal St,40.722854,-74.006277,Subway,M,0.0,0.333,0.333,0.333
1,136,Franklin St,40.719318,-74.006886,Subway,M,0.0,0.0,0.333,0.667
1,137,Chambers St,40.715478,-74.009266,Subway,M,0.0,0.0,0.0,0.667
1,138,WTC Cortlandt,40.711835,-74.012188,Subway,M,0.333,0.0,0.333,0.0
1,139,Rector St,40.707513,-74.013783,Subway,M,0.0,0.0,0.0,0.333
1,142,South Ferry,40.702068,-74.013664,Subway,M,0.0,0.176,0.059,0.471
2,120,96 St,40.793919,-73.972323,Subway,M,0.0,0.0,0.333,0.667
2,123,72 St,40.778453,-73.98197,Subway,M,0.143,0.214,0.357,0.357
2,127,Times Sq-42 St,40.75529,-73.987495,Subway,M,0.444,0.111,0.778,0.889
2,128,34 St-Penn Station,40.750373,-73.991057,Subway,M,0.0,0.429,0.429,0.571
2,132,14 St,40.737826,-74.000201,Subway,M,0.083,0.25,0.667,0.5
2,137,Chambers St,40.715478,-74.009266,Subway,M,0.085,0.134,0.341,0.39
2,201,Wakefield-241 St,40.903125,-73.85062,Elevated,Bx,0.08,0.107,0.187,0.413
2,204,Nereid Av,40.898379,-73.854376,Elevated,Bx,0.0,0.75,0.0,0.5
2,205,233 St,40.893193,-73.857473,Elevated,Bx,0.0,0.0,0.0,0.0
2,206,225 St,40.888022,-73.860341,Elevated,Bx,0.0,0.333,0.0,0.0
2,207,219 St,40.883895,-73.862633,Elevated,Bx,0.0,0.0,0.0,0.0
2,208,Gun Hill Rd,40.87785,-73.866256,Elevated,Bx,0.0,0.0,0.0,0.0
2,209,Burke Av,40.871356,-73.867164,Elevated,Bx,0.0,0.0,0.0,0.0
2,210,Allerton Av,40.865462,-73.867352,Elevated,Bx,0.0,0.0,0.0,0.0
2,211,Pelham Pkwy,40.857192,-73.867615,Elevated,Bx,0.0,0.0,0.0,0.167
2,212,Bronx Park East,40.848828,-73.868457,Elevated,Bx,0.0,0.0,0.0,0.0
2,213,E 180 St,40.841894,-73.873488,Elevated,Bx,0.0,0.0,0.0,0.0
2,214,West Farms Sq-E Tremont Av,40.840295,-73.880049,Elevated,Bx,0.0,0.0,0.0,0.0
2,215,174 St,40.837288,-73.887734,Elevated,Bx,0.0,0.0,0.0,0.333
3,120,96 St,40.793919,-73.972323,Subway,M,0.0,0.0,0.167,0.667
3,123,72 St,40.778453,-73.98197,Subway,M,0.071,0.071,0.143,0.286
3,127,Times Sq-42 St,40.75529,-73.987495,Subway,M,0.111,0.111,0.111,0.556
3,128,34 St-Penn Station,40.750373,-73.991057,Subway,M,0.143,0.143,0.0,0.143
3,132,14 St,40.737826,-74.000201,Subway,M,0.0,0.417,0.25,0.333
3,137,Chambers St,40.715478,-74.009266,Subway,M,0.089,0.289,0.244,0.6
3,224,135 St,40.814229,-73.94077,Subway,M,0.0,0.205,0.026,0.179
3,225,125 St,40.807754,-73.945495,Subway,M,0.2,0.0,0.0,0.0
3,226,116 St,40.802098,-73.949625,Subway,M,0.0,0.0,0.0,0.0
3,227,110 St-Malcolm X Plaza,40.799075,-73.951822,Subway,M,0.152,0.03,0.182,0.333
3,228,Park Place,40.713051,-74.008811,Subway,M,0.455,0.273,0.545,0.455
4,234,Nevins St,40.688246,-73.980492,Subway,Bk,0.0,0.0,0.0,0.0
4,235,Atlantic Av-Barclays Ctr,40.684359,-73.977666,Subway,Bk,0.0,0.0,0.0,0.0
4,239,Franklin Av-Medgar Evers College,40.670682,-73.958131,Subway,Bk,0.154,0.077,0.462,0.385
4,250,Crown Hts-Utica Av,40.668897,-73.932942,Subway,Bk,0.138,0.088,0.162,0.175
4,401,Woodlawn,40.886037,-73.878751,Elevated,Bx,0.053,0.16,0.133,0.253
4,402,Mosholu Pkwy,40.87975,-73.884655,Elevated,Bx,0.2,0.0,0.2,0.2
4,405,Bedford Park Blvd-Lehman College,40.873412,-73.890064,Elevated,Bx,0.0,0.0,0.0,0.0
4,406,Kingsbridge Rd,40.86776,-73.897174,Elevated,Bx,0.0,0.333,0.0,0.333
5,204,Nereid Av,40.898379,-73.854376,Elevated,Bx,0.0,0.0,0.0,0.0
5,205,233 St,40.893193,-73.857473,Elevated,Bx,0.0,0.0,0.0,0.0
5,206,225 St,40.888022,-73.860341,Elevated,Bx,0.0,0.0,0.0,0.0
5,207,219 St,40.883895,-73.862633,Elevated,Bx,0.5,0.25,0.75,0.5
5,208,Gun Hill Rd,40.87785,-73.866256,Elevated,Bx,0.0,0.0,0.8,0.4
5,209,Burke Av,40.871356,-73.867164,Elevated,Bx,0.0,0.0,0.25,0.75
5,210,Allerton Av,40.865462,-73.867352,Elevated,Bx,0.25,0.5,0.25,0.5
5,211,Pelham Pkwy,40.857192,-73.867615,Elevated,Bx,0.167,0.0,0.167,0.833
5,212,Bronx Park East,40.848828,-73.868457,Elevated,Bx,0.2,0.0,0.4,0.4
5,213,E 180 St,40.841894,-73.873488,Elevated,Bx,0.0,0.6,0.6,0.4
5,214,West Farms Sq-E Tremont Av,40.840295,-73.880049,Elevated,Bx,0.0,0.0,0.667,0.333
5,215,174 St,40.837288,-73.887734,Elevated,Bx,0.4,0.2,0.2,0.4
5,216,Freeman St,40.829993,-73.891865,Elevated,Bx,0.0,0.4,0.8,0.8
5,217,Simpson St,40.824073,-73.893064,Elevated,Bx,0.333,0.0,0.333,0.667
5,218,Intervale Av,40.822181,-73.896736,Elevated,Bx,0.0,0.0,0.0,0.0
5,219,Prospect Av,40.819585,-73.90177,Elevated,Bx,0.0,0.0,0.667,0.333
5,220,Jackson Av,40.81649,-73.907807,Elevated,Bx,0.0,0.0,1.0,0.5
5,221,3 Av-149 St,40.816109,-73.917757,Subway,Bx,0.0,0.0,0.2,0.4
5,222,149 St-Grand Concourse,40.81841,-73.926718,Subway,Bx,0.062,0.083,0.125,0.146
5,234,Nevins St,40.688246,-73.980492,Subway,Bk,0.13,0.196,0.109,0.304
5,235,Atlantic Av-Barclays Ctr,40.684359,-73.977666,Subway,Bk,0.0,0.125,0.0,0.125
5,239,Franklin Av-Medgar Evers College,40.670682,-73.958131,Subway,Bk,0.0,0.111,0.0,0.0
5,241,President St-Medgar Evers College,40.667883,-73.950683,Subway,Bk,0.0,0.0,0.0,0.0
5,242,Sterling St,40.662742,-73.95085,Subway,Bk,0.0,0.0,0.0,0.0
5,243,Winthrop St,40.656652,-73.9502,Subway,Bk,0.0,0.5,0.0,0.0
5,244,Church Av,40.650843,-73.949575,Subway,Bk,0.25,0.5,0.0,0.0
5,245,Beverly Rd,40.645098,-73.948959,Subway,Bk,0.0,0.333,0.333,0.0
5,246,Newkirk Av-Little Haiti,40.639967,-73.948411,Subway,Bk,0.0,0.0,0.0,0.0
5,247,Flatbush Av-Brooklyn College,40.632836,-73.947642,Subway,Bk,0.0,0.0,0.028,0.083
6,601,Pelham Bay Park,40.852462,-73.828121,Elevated,Bx,0.0,0.0,0.0,0.0
6,602,Buhre Av,40.84681,-73.832569,Elevated,Bx,0.0,0.0,0.0,0.0
6,603,Middletown Rd,40.843863,-73.836322,Elevated,Bx,0.0,0.0,0.0,0.0
6,604,Westchester Sq-E Tremont Av,40.839892,-73.842952,Elevated,Bx,0.0,0.0,0.667,1.0
6,606,Zerega Av,40.836488,-73.847036,Elevated,Bx,0.333,0.333,0.333,0.667
6,607,Castle Hill Av,40.834255,-73.851222,Elevated,Bx,0.0,0.25,0.25,0.25
6,608,Parkchester,40.833226,-73.860816,Elevated,Bx,0.25,0.5,0.5,0.5
