line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,44,0.0,-0.936,att,0.0,False
1,0,44,0.0,-0.936,tmobile,0.0,False
1,0,44,0.0,-0.936,verizon,0.0385,True
1,0,44,0.0,-0.936,sprint,0.0,False
1,0,49,0.104,-0.831,att,0.0,False
1,0,49,0.104,-0.831,tmobile,0.0385,True
1,0,49,0.104,-0.831,verizon,0.0769,True
1,0,49,0.104,-0.831,sprint,0.0,False
1,0,54,0.209,-0.727,att,0.0,False
1,0,54,0.209,-0.727,tmobile,0.0,False
1,0,54,0.209,-0.727,verizon,0.0385,True
1,0,54,0.209,-0.727,sprint,0.0,False
1,0,59,0.313,-0.623,att,0.0,False
1,0,59,0.313,-0.623,tmobile,0.0385,True
1,0,59,0.313,-0.623,verizon,0.0385,True
1,0,59,0.313,-0.623,sprint,0.0,False
1,0,64,0.417,-0.518,att,0.0,False
1,0,64,0.417,-0.518,tmobile,0.0385,True
1,0,64,0.417,-0.518,verizon,0.0385,True
1,0,64,0.417,-0.518,sprint,0.0,False
1,0,69,0.522,-0.414,att,0.0,False
1,0,69,0.522,-0.414,tmobile,0.0,False
1,0,69,0.522,-0.414,verizon,0.0,False
1,0,69,0.522,-0.414,sprint,0.0,False
1,0,74,0.626,-0.31,att,0.0,False
1,0,74,0.626,-0.31,tmobile,0.0,False
1,0,74,0.626,-0.31,verizon,0.0,False
1,0,74,0.626,-0.31,sprint,0.0,False
1,0,79,0.73,-0.205,att,0.0,False
1,0,79,0.73,-0.205,tmobile,0.0,False
1,0,79,0.73,-0.205,verizon,0.0,False
1,0,79,0.73,-0.205,sprint,0.0,False
1,0,84,0.835,-0.101,att,0.0,False
1,0,84,0.835,-0.101,tmobile,0.0,False
1,0,84,0.835,-0.101,verizon,0.0,False
1,0,84,0.835,-0.101,sprint,0.0,False
1,0,89,0.939,0.003,att,0.0,False
1,0,89,0.939,0.003,tmobile,0.0,False
1,0,89,0.939,0.003,verizon,0.0,False
1,0,89,0.939,0.003,sprint,0.0,False
1,0,94,1.043,0.108,att,0.0,False
1,0,94,1.043,0.108,tmobile,0.0,False
1,0,94,1.043,0.108,verizon,0.0385,True
1,0,94,1.043,0.108,sprint,0.0,False
1,0,99,1.148,0.212,att,0.0,False
1,0,99,1.148,0.212,tmobile,0.0769,True
1,0,99,1.148,0.212,verizon,0.0385,True
1,0,99,1.148,0.212,sprint,0.0,False
1,0,104,1.252,0.316,att,0.0,False
1,0,104,1.252,0.316,tmobile,0.0385,True
1,0,104,1.252,0.316,verizon,0.0,False
1,0,104,1.252,0.316,sprint,0.0,False
1,0,109,1.356,0.421,att,0.0,False
1,0,109,1.356,0.421,tmobile,0.0385,True
1,0,109,1.356,0.421,verizon,0.0769,True
1,0,109,1.356,0.421,sprint,0.0,False
1,0,114,1.461,0.525,att,0.0,False
