line,band_idx,att,sprint,tmobile,verizon
1,0,2.6,10.3,22.6,38.1
2,1,7.8,12.9,26.3,36.9
3,2,9.8,17.9,16.8,37.0
4,3,9.4,10.9,15.6,20.8
5,4,7.4,11.9,17.7,23.5
6,5,7.8,7.1,13.0,18.8
7,6,19.8,12.9,37.6,34.7
A,7,10.3,7.2,15.7,22.6
C,8,6.1,6.6,6.1,11.6
E,9,12.0,13.9,16.5,36.1
B,10,7.4,9.9,14.4,20.6
D,11,10.7,7.5,21.7,28.1
F,12,7.8,10.8,16.0,21.9
M,13,3.8,5.4,14.7,15.8
G,14,0.9,5.6,3.7,3.7
J,15,14.8,12.6,38.5,45.2
Z,16,17.9,9.0,32.1,44.8
L,17,1.0,6.1,18.4,15.3
N,18,12.1,13.1,18.4,33.5
Q,19,11.2,14.6,22.4,35.1
R,20,6.1,19.5,16.5,33.5
